season,striker,runs,balls_faced,fours,sixes,dismissals,strike_rate,batting_avg,boundary_pct
2008,A Chopra,42,55,5,0,5,76.36,8.4,47.62
2008,A Kumble,13,17,1,0,2,76.47,6.5,30.77
2008,A Mishra,37,42,3,0,3,88.1,12.33,32.43
2008,A Mukund,0,1,0,0,1,0.0,0.0,0.0
2008,A Nehra,3,13,0,0,1,23.08,3.0,0.0
2008,A Symonds,161,111,15,9,2,145.05,80.5,70.81
2008,AA Noffke,9,12,1,0,1,75.0,9.0,44.44
2008,AB Agarkar,54,49,5,2,5,110.2,10.8,59.26
2008,AB Dinda,2,4,0,0,1,50.0,2.0,0.0
2008,AB de Villiers,95,100,5,1,5,95.0,19.0,27.37
2008,AC Gilchrist,436,328,51,19,13,132.93,33.54,72.94
2008,AD Mascarenhas,9,8,0,1,1,112.5,9.0,66.67
2008,AM Nayar,206,142,16,9,8,145.07,25.75,57.28
2008,AM Rahane,4,19,1,0,2,21.05,2.0,100.0
2008,AS Yadav,49,40,5,2,5,122.5,9.8,65.31
2008,Abdur Razzak,0,2,0,0,0,0.0,0.0,0.0
2008,B Akhil,46,32,4,3,3,143.75,15.33,73.91
2008,B Chipli,20,30,3,0,3,66.67,6.67,60.0
2008,B Lee,17,14,2,1,1,121.43,17.0,82.35
2008,BB McCullum,188,96,13,15,3,195.83,62.67,75.53
2008,BJ Hodge,12,18,2,0,3,66.67,4.0,66.67
2008,CK Kapugedera,16,24,0,0,3,66.67,5.33,0.0
2008,CL White,114,105,8,4,7,108.57,16.29,49.12
2008,CRD Fernando,2,1,0,0,0,200.0,2.0,0.0
2008,D Kalyankrishna,3,8,0,0,1,37.5,3.0,0.0
2008,D Salunkhe,33,24,5,0,2,137.5,16.5,60.61
2008,DB Das,103,95,9,5,6,108.42,17.17,64.08
2008,DB Ravi Teja,109,85,10,5,6,128.24,18.17,64.22
2008,DJ Bravo,178,137,19,5,6,129.93,29.67,59.55
2008,DJ Hussey,319,267,19,17,11,119.48,29.0,55.8
2008,DJ Thornely,39,54,2,2,3,72.22,13.0,51.28
2008,DNT Zoysa,11,9,1,0,1,122.22,11.0,36.36
2008,DP Vijaykumar,1,1,0,0,0,100.0,1.0,0.0
2008,DPMD Jayawardene,179,138,15,7,7,129.71,25.57,56.98
2008,DR Smith,45,41,5,1,3,109.76,15.0,57.78
2008,DS Kulkarni,2,17,0,0,0,11.76,2.0,0.0
2008,DS Lehmann,18,19,3,0,2,94.74,9.0,66.67
2008,DT Patil,13,13,1,0,2,100.0,6.5,30.77
2008,DW Steyn,2,5,0,0,1,40.0,2.0,0.0
2008,G Gambhir,534,394,68,8,13,135.53,41.08,59.93
2008,GC Smith,441,375,54,8,9,117.6,49.0,59.86
2008,GD McGrath,4,5,1,0,1,80.0,4.0,100.0
2008,H Das,2,5,0,0,1,40.0,2.0,0.0
2008,HH Gibbs,167,159,17,8,9,105.03,18.56,69.46
2008,Harbhajan Singh,30,17,1,3,2,176.47,15.0,73.33
2008,I Sharma,11,11,1,0,1,100.0,11.0,36.36
2008,IK Pathan,131,120,9,6,6,109.17,21.83,54.96
2008,Iqbal Abdulla,1,2,0,0,0,50.0,1.0,0.0
2008,J Arunkumar,23,24,5,0,3,95.83,7.67,86.96
