match_id,season,date,venue,city,team1,team2,toss_winner,toss_decision,winner,winner_runs,winner_wickets,player_of_match,total_runs,total_wickets,total_fours,total_sixes,total_balls,total_extras,innings1_runs,innings2_runs,innings1_wickets,innings2_wickets,batting_first_team,batting_second_team,batting_first_won
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,35,,Yuvraj Singh,379,14,32,17,248,13,207,172,4,10,Sunrisers Hyderabad,Royal Challengers Bangalore,True
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,,7,SPD Smith,371,11,30,17,247,12,184,187,8,3,Mumbai Indians,Rising Pune Supergiant,False
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,10,CA Lynn,367,4,38,14,218,19,183,184,4,0,Gujarat Lions,Kolkata Knight Riders,False
1082594,2017,2017-04-08,Holkar Cricket Stadium,Indore,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,,6,GJ Maxwell,327,10,22,16,247,16,163,164,6,4,Rising Pune Supergiant,Kings XI Punjab,False
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,15,,KM Jadhav,299,17,24,12,248,11,157,142,8,9,Royal Challengers Bangalore,Delhi Daredevils,True
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,9,Rashid Khan,275,8,23,7,216,6,135,140,7,1,Gujarat Lions,Sunrisers Hyderabad,False
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,,4,N Rana,358,13,29,15,254,21,178,180,7,6,Kolkata Knight Riders,Mumbai Indians,False
1082598,2017,2017-04-10,Holkar Cricket Stadium,Indore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,,8,AR Patel,298,6,17,20,212,10,148,150,4,2,Royal Challengers Bangalore,Kings XI Punjab,False
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,97,,SV Samson,313,14,24,14,226,13,205,108,4,10,Delhi Daredevils,Rising Pune Supergiant,True
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,,4,JJ Bumrah,317,14,34,9,239,15,158,159,8,6,Sunrisers Hyderabad,Mumbai Indians,False
1082601,2017,2017-04-13,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,,8,SP Narine,341,11,38,11,234,27,170,171,9,2,Kings XI Punjab,Kolkata Knight Riders,False
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,4,KA Pollard,287,11,14,11,243,24,142,145,5,6,Royal Challengers Bangalore,Mumbai Indians,False
1082603,2017,2017-04-14,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,,7,AJ Tye,343,11,35,13,236,10,171,172,8,3,Rising Pune Supergiant,Gujarat Lions,False
1082604,2017,2017-04-15,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,,RV Uthappa,327,12,29,12,250,18,172,155,6,6,Kolkata Knight Riders,Sunrisers Hyderabad,True
1082605,2017,2017-04-15,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51,,CJ Anderson,325,15,34,8,248,12,188,137,6,9,Delhi Daredevils,Kings XI Punjab,True
1082606,2017,2017-04-16,Wankhede Stadium,Mumbai,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,,6,N Rana,353,8,23,14,251,24,176,177,4,4,Gujarat Lions,Mumbai Indians,False
1082607,2017,2017-04-16,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,27,,BA Stokes,295,17,24,9,250,21,161,134,8,9,Rising Pune Supergiant,Royal Challengers Bangalore,True
1082608,2017,2017-04-17,Feroz Shah Kotla,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,,4,NM Coulter-Nile,337,13,32,9,245,14,168,169,7,6,Delhi Daredevils,Kolkata Knight Riders,False
1082609,2017,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,5,,B Kumar,313,16,22,11,249,21,159,154,6,10,Sunrisers Hyderabad,Kings XI Punjab,True
1082610,2017,2017-04-18,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,21,,CH Gayle,405,9,29,25,249,12,213,192,2,7,Royal Challengers Bangalore,Gujarat Lions,True
1082611,2017,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,,KS Williamson,367,9,33,13,245,11,191,176,4,5,Sunrisers Hyderabad,Delhi Daredevils,True
1082612,2017,2017-04-20,Holkar Cricket Stadium,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,,8,JC Buttler,397,6,30,24,225,20,198,199,4,2,Kings XI Punjab,Mumbai Indians,False
1082613,2017,2017-04-21,Eden Gardens,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,4,SK Raina,375,11,43,12,232,8,187,188,5,6,Kolkata Knight Riders,Gujarat Lions,False
1082614,2017,2017-04-22,Wankhede Stadium,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,14,,MJ McClenaghan,270,15,23,6,252,24,142,128,8,7,Mumbai Indians,Delhi Daredevils,True
1082615,2017,2017-04-22,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,,6,MS Dhoni,355,7,33,13,245,11,176,179,3,4,Sunrisers Hyderabad,Rising Pune Supergiant,False
1082616,2017,2017-04-23,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,26,,HM Amla,350,14,33,11,245,12,188,162,7,7,Kings XI Punjab,Gujarat Lions,True
1082617,2017,2017-04-23,Eden Gardens,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,82,,NM Coulter-Nile,180,20,22,2,183,15,131,49,10,10,Kolkata Knight Riders,Royal Challengers Bangalore,True
1082618,2017,2017-04-24,Wankhede Stadium,Mumbai,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,3,,BA Stokes,317,14,33,8,245,10,160,157,6,8,Rising Pune Supergiant,Mumbai Indians,True
1082620,2017,2017-04-26,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,7,RV Uthappa,366,8,33,13,239,20,182,184,5,3,Rising Pune Supergiant,Kolkata Knight Riders,False
1082621,2017,2017-04-27,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,,7,AJ Tye,269,13,22,11,212,20,134,135,10,3,Royal Challengers Bangalore,Gujarat Lions,False
1082622,2017,2017-04-28,Eden Gardens,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,,7,G Gambhir,321,9,34,8,221,17,160,161,6,3,Delhi Daredevils,Kolkata Knight Riders,False
1082623,2017,2017-04-28,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,26,,Rashid Khan,388,12,44,11,243,8,207,181,3,9,Sunrisers Hyderabad,Kings XI Punjab,True
1082624,2017,2017-04-29,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,61,,LH Ferguson,253,12,20,5,245,8,157,96,3,9,Rising Pune Supergiant,Royal Challengers Bangalore,True
1082625,2017,2017-04-29,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,,,,KH Pandya,323,21,30,10,263,16,153,153,9,10,Gujarat Lions,Mumbai Indians,False
